Price,Close,High,Low,Open,Volume
8/2/2022,0.016619578,0.016820574,0.016450074,0.016619578,0
8/3/2022,0.016450074,0.016697278,0.01616922,0.016518004,0
8/4/2022,0.015952755,0.016669445,0.016240356,0.016240356,0
8/5/2022,0.016269421,0.016641704,0.01630255,0.016607158,0
8/8/2022,0.016531657,0.016697278,0.016231658,0.016531657,0
8/9/2022,0.016170762,0.016669473,0.016170762,0.016170762,0
8/10/2022,0.016545335,0.016614055,0.016203515,0.016545335,0
8/11/2022,0.016269421,0.016559033,0.016269421,0.016269421,0
8/12/2022,0.016504373,0.016531657,0.016210083,0.016504373,0
8/15/2022,0.016073294,0.016504373,0.016073294,0.016073294,0
8/16/2022,0.016528925,0.016511459,0.016216522,0.016269421,0
8/17/2022,0.016269421,0.016586525,0.016269421,0.016269421,0
8/18/2022,0.016538493,0.01683788,0.016429588,0.016538493,0
8/19/2022,0.016676394,0.017072713,0.016676394,0.016676394,0
8/22/2022,0.016816614,0.016966406,0.016589664,0.016816614,0
8/23/2022,0.016641704,0.016781339,0.016550537,0.016641704,0
8/24/2022,0.016607158,0.016725233,0.016579624,0.016607158,0
8/25/2022,0.016725205,0.016809547,0.01648397,0.016725205,0
8/26/2022,0.016572755,0.016767299,0.016417935,0.016572755,0
8/29/2022,0.01659338,0.01659338,0.015995137,0.01659338,0
8/30/2022,0.016203515,0.016523736,0.016203515,0.016203515,0
8/31/2022,0.016676394,0.016746212,0.016497539,0.016676394,0
9/1/2022,0.016641704,0.016655562,0.016436528,0.016641704,0
9/2/2022,0.016618198,0.016641704,0.016463291,0.016618198,0
9/5/2022,0.016618198,0.016618198,0.016269421,0.016618198,0
9/6/2022,0.016400164,0.016490765,0.016167756,0.016400164,0
9/7/2022,0.016329195,0.016488045,0.016269421,0.016329195,0
9/8/2022,0.015560593,0.016477179,0.016012836,0.016012836,0
9/9/2022,0.016269421,0.016621096,0.016269421,0.016269421,0
9/12/2022,0.016081048,0.016661946,0.016081048,0.016081048,0
9/13/2022,0.016771488,0.016697306,0.016475957,0.016929068,0
9/14/2022,0.017094018,0.016816642,0.016614608,0.016816614,0
9/15/2022,0.016753225,0.01679546,0.016648632,0.016753225,0
9/16/2022,0.016781339,0.016781339,0.01648397,0.016781339,0
9/19/2022,0.016806724,0.01665559,0.015780337,0.015780337,0
9/20/2022,0.016655562,0.016697278,0.016365675,0.016655562,0
9/21/2022,0.016556291,0.016559033,0.016015375,0.016447369,0
9/22/2022,0.016242996,0.016880486,0.016242996,0.016242996,0
9/23/2022,0.016269421,0.017733641,0.016269421,0.016269421,0
9/26/2022,0.017477933,0.017477933,0.016995242,0.017477933,0
9/27/2022,0.017104249,0.017244382,0.016834449,0.017104249,0
9/28/2022,0.016988022,0.017364759,0.016959213,0.016988022,0
9/29/2022,0.017118862,0.017485576,0.017045794,0.017281603,0
9/30/2022,0.017401896,0.017702248,0.016315609,0.017401896,0
10/3/2022,0.016607158,0.017485576,0.016607158,0.016607158,0
10/4/2022,0.017244352,0.017244352,0.016817464,0.017244322,0
10/5/2022,0.016952025,0.017214667,0.01639613,0.016952025,0
10/6/2022,0.016315902,0.016763812,0.016387668,0.016470395,0
10/7/2022,0.016531657,0.016531657,0.015984526,0.016531657,0
10/10/2022,0.015543639,0.016342567,0.015543639,0.015543639,0
